"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test Login","3","0","","0"
"0","","0","Test change user data","8","0","","0"
"0","","0","Test registration user","8","0","","0"
"0","","0","Get user orders","2","0","","0"
"0","","0","Create order tests","4","0","","0"
